date,revenue,users,conversion,churn,mrr,channel
2026-01-01,12400,820,3.2,1.1,9800,Organic
2026-01-08,13250,910,3.5,1.0,10200,Paid
2026-01-15,14100,980,3.8,0.9,10850,Referral
2026-01-22,13800,1040,3.4,1.2,11100,Organic
2026-01-29,15600,1120,4.1,0.8,11900,Paid
2026-02-05,16200,1210,4.0,0.7,12450,Organic
2026-02-12,17150,1290,4.3,0.9,13100,Referral
2026-02-19,16800,1340,3.9,1.0,13350,Paid
2026-02-26,18400,1420,4.5,0.6,14100,Organic
2026-03-05,19200,1510,4.6,0.7,14800,Paid
2026-03-12,20100,1590,4.8,0.5,15500,Referral
2026-03-19,19850,1640,4.4,0.8,15750,Organic
